,id,Name,Symbol,price,var_last_heure,var_last_day,var_cap,var_volume_day,var_circulating_supply,date,heure,variation_1h,moyenne_day
0,39,Aave,AAVE,0.0018513598702122169,0.18,4.37,0.0009753565899828461,0.0010302394920911823,14958611,2024-10-26,12:48:52,0.0,0.0018747060759847808
1,39,Aave,AAVE,0.0018505711064152484,0.18,4.44,0.0009748166411654542,0.0010304776234537183,14958611,2024-10-26,12:56:15,-4.26045586877812e-06,0.0018747060759847808
2,39,Aave,AAVE,0.0018507025670480763,0.14,4.56,0.0009748526274022588,0.0010303001460941295,14958611,2024-10-26,13:01:31,7.10378631810109e-07,0.0018747060759847808
3,39,Aave,AAVE,0.001869501437542491,0.0,0.0,0.0009891220549078223,0.0005601254553299,14958854,2024-10-27,11:11:03,0.00010157692854098641,0.0019165383286609931
4,39,Aave,AAVE,0.0019148553558681763,0.27,0.0,0.0010235825347126091,0.0005213865164591657,14959543,2024-10-27,18:31:41,0.0002425989733492714,0.0019165383286609931
5,38,Aave,AAVE,0.0018973710917020428,1.56,1.67,0.0010115241020494598,0.0009263861860403372,14971651,2024-11-01,16:38:55,-9.130852670602664e-05,0.0019154509120131765
6,38,Aave,AAVE,0.0018981598554990108,1.58,1.62,0.0010120745635952527,0.0009262985831594397,14971651,2024-11-01,16:40:57,4.157139887755411e-06,0.0019154509120131765
7,38,Aave,AAVE,0.0018777834574106595,0.0,1.74,0.000996632874913277,0.000949151600503261,14971651,2024-11-01,18:05:36,-0.00010734815430431354,0.0019154509120131765
8,33,Aave,AAVE,0.0022350934574373645,0.0,0.0,0.0012680943009117916,0.0035555334432814025,14974026,2024-11-06,19:39:34,0.0019028283394007285,0.002268639400788729
9,33,Aave,AAVE,0.0022350934574373645,0.0,0.0,0.0012680943009117916,0.0035555334432814025,14974026,2024-11-06,19:39:57,0.0,0.002268639400788729
10,33,Aave,AAVE,0.002237591209461098,0.0,0.0,0.0012699740281939941,0.0035646788959991372,14974026,2024-11-06,19:45:44,1.1175155864015864e-05,0.002268639400788729
11,33,Aave,AAVE,0.002237591209461098,0.0,0.0,0.0012699740281939941,0.0035646788959991372,14974026,2024-11-06,19:46:05,0.0,0.002268639400788729
12,33,Aave,AAVE,0.002237591209461098,0.0,0.0,0.0012699740281939941,0.0035646788959991372,14974026,2024-11-06,19:46:25,0.0,0.002268639400788729
13,34,Aave,AAVE,0.0022558642374242,0.0,0.0,0.0012839074175623544,0.0037442598136913485,14974030,2024-11-06,23:08:02,8.166382703718855e-05,0.002268639400788729
14,11,Cardano,ADA,4.344552009419629e-06,0.05,3.84,0.007275445206286625,0.0026882276576536625,34980974700,2024-10-26,12:48:49,0.0,4.398708371933503e-06
15,11,Cardano,ADA,4.341922796763067e-06,0.1,3.91,0.007271376257291304,0.0026889624727028803,34980974700,2024-10-26,12:56:12,-6.051437216339893e-06,4.398708371933503e-06
16,11,Cardano,ADA,4.341922796763067e-06,0.07,3.94,0.0072699222975084596,0.0026875337957657005,34980974700,2024-10-26,13:01:27,0.0,4.398708371933503e-06
17,11,Cardano,ADA,4.370844135985244e-06,0.03,0.0,0.007323742139920834,0.0010162017261363101,34986894173,2024-10-27,11:11:01,6.660611565243825e-05,4.483038642580509e-06
18,11,Cardano,ADA,4.4812710675608255e-06,0.01,0.0,0.007518835136554757,0.0009196456352662901,34986894173,2024-10-27,18:31:38,0.00025263157894736733,4.483038642580509e-06
19,10,Cardano,ADA,4.716585600323078e-06,0.1,0.0,0.007939292417302735,0.0018501177173269748,34995041872,2024-11-01,16:38:52,0.000525080668817836,4.760884692185907e-06
20,11,Cardano,ADA,4.713956387666516e-06,0.21,0.0,0.007933158073020776,0.0018516763612729792,34995041872,2024-11-01,16:40:54,-5.574136008919551e-06,4.760884692185907e-06
21,11,Cardano,ADA,4.670574378833252e-06,0.0,0.0,0.007857350406689575,0.0020072913133589903,34995041872,2024-11-01,18:05:33,-9.202453987729977e-05,4.760884692185907e-06
22,10,Cardano,ADA,4.670574378833252e-06,0.0,0.0,0.007858519612537657,0.0034890965319600026,35002992146,2024-11-06,19:39:31,0.0,4.743352872761925e-06
23,10,Cardano,ADA,4.670574378833252e-06,0.0,0.0,0.007858519612537657,0.0034890965319600026,35002992146,2024-11-06,19:39:54,0.0,4.743352872761925e-06
24,10,Cardano,ADA,4.674518197818095e-06,0.0,0.0,0.007867114896177833,0.003492774330752992,35002992146,2024-11-06,19:45:41,8.443568815086475e-06,4.743352872761925e-06
25,10,Cardano,ADA,4.674518197818095e-06,0.0,0.0,0.007867114896177833,0.003492774330752992,35002992146,2024-11-06,19:46:02,0.0,4.743352872761925e-06
26,10,Cardano,ADA,4.674518197818095e-06,0.0,0.0,0.007867114896177833,0.003492774330752992,35002992146,2024-11-06,19:46:22,0.0,4.743352872761925e-06
27,10,Cardano,ADA,4.7336754825907274e-06,0.0,0.0,0.00797118487198984,0.0035659564531366965,35002992146,2024-11-06,23:08:00,0.00012654668166479045,4.743352872761925e-06
28,89,Aerodrome Finance,AERO,1.4066065807055696e-05,0.0,2.48,4.706179866532267e-05,0.00019824866246684068,669494605,2024-10-26,12:48:56,0.0,1.424715245291463e-05
29,88,Aerodrome Finance,AERO,1.4066065807055696e-05,0.0,2.41,4.765713122275336e-05,0.0001956036854222986,669493451,2024-10-26,13:01:36,0.0,1.424715245291463e-05
30,79,Aerodrome Finance,AERO,1.564359340099258e-05,0.0,0.0,0.00010025283918097509,0.0001979643380460756,669478835,2024-10-27,11:11:07,0.0011214953271028027,1.6177871807201342e-05
